UF;Municipio;Combustivel Veiculo;Qtd. Veiculos
ACRE;ACRELANDIA;ALCOOL;59
ACRE;ACRELANDIA;ALCOOL/GASOLINA;2670
ACRE;ACRELANDIA;DIESEL;1059
ACRE;ACRELANDIA;GASOLINA;3775
ACRE;ACRELANDIA;GASOLINA/ALCOOL/ELETRICO;1
ACRE;ACRELANDIA;GASOLINA/ALCOOL/GAS NATURAL;2
ACRE;ACRELANDIA;Sem Informação;175
ACRE;ASSIS BRASIL;ALCOOL;5
ACRE;ASSIS BRASIL;ALCOOL/GASOLINA;1039
ACRE;ASSIS BRASIL;DIESEL;165
ACRE;ASSIS BRASIL;GASOLINA;1008
ACRE;ASSIS BRASIL;Sem Informação;26
ACRE;BRASILEIA;ALCOOL;86
ACRE;BRASILEIA;ALCOOL/GASOLINA;4787
ACRE;BRASILEIA;DIESEL;1677
ACRE;BRASILEIA;GASOL/GAS NATURAL COMBUSTIVEL;1
ACRE;BRASILEIA;GASOLINA;5407
ACRE;BRASILEIA;GASOLINA/ALCOOL/ELETRICO;2
ACRE;BRASILEIA;Sem Informação;694
ACRE;BUJARI;ALCOOL;28
ACRE;BUJARI;ALCOOL/GASOLINA;1072
ACRE;BUJARI;DIESEL;468
ACRE;BUJARI;GASOLINA;1161
ACRE;BUJARI;Sem Informação;88
ACRE;CAPIXABA;ALCOOL;20
ACRE;CAPIXABA;ALCOOL/GASOLINA;1068
ACRE;CAPIXABA;DIESEL;300
ACRE;CAPIXABA;GASOLINA;1424
ACRE;CAPIXABA;Sem Informação;49
ACRE;CRUZEIRO DO SUL;ALCOOL;210
ACRE;CRUZEIRO DO SUL;ALCOOL/GASOLINA;18934
ACRE;CRUZEIRO DO SUL;DIESEL;2776
ACRE;CRUZEIRO DO SUL;GASOLINA;17820
ACRE;CRUZEIRO DO SUL;GASOLINA/ALCOOL/ELETRICO;33
ACRE;CRUZEIRO DO SUL;GASOLINA/ALCOOL/GAS NATURAL;3
ACRE;CRUZEIRO DO SUL;GASOLINA/ELETRICO;2
ACRE;CRUZEIRO DO SUL;GASOLINA/GAS NATURAL VEICULAR;1
ACRE;CRUZEIRO DO SUL;Sem Informação;398
ACRE;EPITACIOLANDIA;ALCOOL;59
ACRE;EPITACIOLANDIA;ALCOOL/GASOLINA;3337
ACRE;EPITACIOLANDIA;DIESEL;1065
ACRE;EPITACIOLANDIA;GASOLINA;3349
ACRE;EPITACIOLANDIA;GASOLINA/ALCOOL/ELETRICO;1
ACRE;EPITACIOLANDIA;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;EPITACIOLANDIA;Sem Informação;308
ACRE;FEIJO;ALCOOL;7
ACRE;FEIJO;ALCOOL/GASOLINA;2556
ACRE;FEIJO;DIESEL;368
ACRE;FEIJO;GASOLINA;1999
ACRE;FEIJO;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;FEIJO;Sem Informação;39
ACRE;JORDAO;ALCOOL/GASOLINA;98
ACRE;JORDAO;DIESEL;15
ACRE;JORDAO;GASOLINA;63
ACRE;JORDAO;Sem Informação;1
ACRE;MANCIO LIMA;ALCOOL;20
ACRE;MANCIO LIMA;ALCOOL/GASOLINA;1826
ACRE;MANCIO LIMA;DIESEL;289
ACRE;MANCIO LIMA;GASOLINA;2230
ACRE;MANCIO LIMA;GASOLINA/GAS NATURAL VEICULAR;1
ACRE;MANCIO LIMA;Sem Informação;10
ACRE;MANOEL URBANO;ALCOOL/GASOLINA;787
ACRE;MANOEL URBANO;DIESEL;184
ACRE;MANOEL URBANO;GASOLINA;535
ACRE;MANOEL URBANO;Sem Informação;39
ACRE;MARECHAL THAUMATURGO;ALCOOL/GASOLINA;225
ACRE;MARECHAL THAUMATURGO;DIESEL;35
ACRE;MARECHAL THAUMATURGO;GASOLINA;213
ACRE;PLACIDO DE CASTRO;ALCOOL;63
ACRE;PLACIDO DE CASTRO;ALCOOL/GASOLINA;2138
ACRE;PLACIDO DE CASTRO;DIESEL;585
ACRE;PLACIDO DE CASTRO;GASOLINA;2748
ACRE;PLACIDO DE CASTRO;GASOLINA/ALCOOL/ELETRICO;1
ACRE;PLACIDO DE CASTRO;Sem Informação;123
ACRE;PORTO ACRE;ALCOOL;38
ACRE;PORTO ACRE;ALCOOL/GASOLINA;1660
ACRE;PORTO ACRE;DIESEL;576
ACRE;PORTO ACRE;GASOLINA;2318
ACRE;PORTO ACRE;Sem Informação;57
ACRE;PORTO WALTER;ALCOOL/GASOLINA;258
ACRE;PORTO WALTER;DIESEL;41
ACRE;PORTO WALTER;GASOLINA;165
ACRE;RIO BRANCO;ALCOOL;2888
ACRE;RIO BRANCO;ALCOOL/GAS NATURAL COMBUSTIVEL;1
ACRE;RIO BRANCO;ALCOOL/GASOLINA;92517
ACRE;RIO BRANCO;DIESEL;18947
ACRE;RIO BRANCO;ELETRICO/FONTE EXTERNA;3
ACRE;RIO BRANCO;ELETRICO/FONTE INTERNA;15
ACRE;RIO BRANCO;GASOL/GAS NATURAL COMBUSTIVEL;5
ACRE;RIO BRANCO;GASOLINA;92109
ACRE;RIO BRANCO;GASOLINA/ALCOOL/ELETRICO;173
ACRE;RIO BRANCO;GASOLINA/ALCOOL/GAS NATURAL;9
ACRE;RIO BRANCO;GASOLINA/ELETRICO;46
ACRE;RIO BRANCO;GASOLINA/GAS NATURAL VEICULAR;7
ACRE;RIO BRANCO;Sem Informação;5198
ACRE;RODRIGUES ALVES;ALCOOL;5
ACRE;RODRIGUES ALVES;ALCOOL/GASOLINA;995
ACRE;RODRIGUES ALVES;DIESEL;98
ACRE;RODRIGUES ALVES;GASOLINA;973
ACRE;RODRIGUES ALVES;Sem Informação;1
ACRE;SANTA ROSA DO PURUS;ALCOOL/GASOLINA;97
ACRE;SANTA ROSA DO PURUS;DIESEL;25
ACRE;SANTA ROSA DO PURUS;GASOLINA;116
ACRE;SANTA ROSA DO PURUS;Sem Informação;3
ACRE;SENA MADUREIRA;ALCOOL;39
ACRE;SENA MADUREIRA;ALCOOL/GASOLINA;5031
ACRE;SENA MADUREIRA;DIESEL;902
ACRE;SENA MADUREIRA;ELETRICO/FONTE INTERNA;1
ACRE;SENA MADUREIRA;GASOLINA;4781
ACRE;SENA MADUREIRA;GASOLINA/ALCOOL/ELETRICO;2
ACRE;SENA MADUREIRA;Sem Informação;123
ACRE;SENADOR GUIOMARD;ALCOOL;100
ACRE;SENADOR GUIOMARD;ALCOOL/GASOLINA;3196
ACRE;SENADOR GUIOMARD;DIESEL;968
ACRE;SENADOR GUIOMARD;GASOLINA;3582
ACRE;SENADOR GUIOMARD;GASOLINA/ALCOOL/ELETRICO;3
ACRE;SENADOR GUIOMARD;Sem Informação;278
ACRE;TARAUACA;ALCOOL;3
ACRE;TARAUACA;ALCOOL/GASOLINA;2973
ACRE;TARAUACA;DIESEL;510
ACRE;TARAUACA;GASOLINA;2464
ACRE;TARAUACA;GASOLINA/ALCOOL/ELETRICO;1
ACRE;TARAUACA;Sem Informação;60
ACRE;XAPURI;ALCOOL;13
ACRE;XAPURI;ALCOOL/GASOLINA;2287
ACRE;XAPURI;DIESEL;468
ACRE;XAPURI;GASOLINA;2459
ACRE;XAPURI;GASOLINA/ALCOOL/GAS NATURAL;1
ACRE;XAPURI;GASOLINA/ELETRICO;1
ACRE;XAPURI;Sem Informação;64
ALAGOAS;AGUA BRANCA;ALCOOL;47
ALAGOAS;AGUA BRANCA;ALCOOL/GASOLINA;2072
ALAGOAS;AGUA BRANCA;DIESEL;789
ALAGOAS;AGUA BRANCA;GASOLINA;2419
ALAGOAS;AGUA BRANCA;GASOLINA/ALCOOL/GAS NATURAL;2
ALAGOAS;AGUA BRANCA;GASOLINA/GAS NATURAL VEICULAR;2
ALAGOAS;AGUA BRANCA;Sem Informação;47
ALAGOAS;ANADIA;ALCOOL;69
ALAGOAS;ANADIA;ALCOOL/GAS NATURAL VEICULAR;2
ALAGOAS;ANADIA;ALCOOL/GASOLINA;1546
ALAGOAS;ANADIA;DIESEL;217
ALAGOAS;ANADIA;GASOLINA;1492
ALAGOAS;ANADIA;GASOLINA/ALCOOL/GAS NATURAL;46
